151,4;42;3,473;306,6;1
151,4;42;3,473;229,8;1
134,2;35;3,017;200,5;1
115,7;27,8;2,816;149,2;1
113,1;24,9;2,612;141,3;1
102,5;24,2;2,513;306,6;1
97,6;21,9;1,943;274,4;1
62,1;25;2,375;162,6;2
84;14,7;1,795;164,3;2
92,2;16,6;2,197;231,9;2
48,3;6,9;1,412;89,4;3
49,2;8,2;2,59;83,9;2
30,9;7,1;0,704;109,9;3
35,3;8,3;0,891;107,2;3
27,8;5,5;0,643;86,1;3
70,2;4,3;0,362;53,5;3
31,9;6,9;0,91;92;3
38;3,40;0,92;60;3
30,5;5,2;1,648;48,1;3
24,2;4,3;0,595;65;3
23,4;2,8;1,01;55,9;3
43;8,1;0,415;63,9;3
